Date,Corpus,Withdrawal,Strategy,Market_Signal
2000-11-30,998000.0,2000.0,Smart SWP,Bearish
2000-12-31,992379.9235106256,2000.0,Smart SWP,Bearish
2001-01-31,1075319.8853068936,2000.0,Smart SWP,Bearish
2001-02-28,1057906.0603657768,1500.0,Smart SWP,Bearish
2001-03-31,897336.568382407,1500.0,Smart SWP,Bearish
2001-04-30,877900.7782375051,1500.0,Smart SWP,Bearish
2001-05-31,909175.5777858985,2000.0,Smart SWP,Bearish
2001-06-30,860467.3539078662,2000.0,Smart SWP,Bearish
2001-07-31,831245.2393176768,2000.0,Smart SWP,Bearish
2001-08-31,814446.5404585934,2000.0,Smart SWP,Bearish
2001-09-30,704817.410199844,1500.0,Smart SWP,Bearish
2001-10-31,747589.1458918077,2000.0,Smart SWP,Bearish
2001-11-30,818735.8051635382,2120.0,Smart SWP,Bearish
2001-12-31,810401.3460698542,2120.0,Smart SWP,Bearish
2002-01-31,819379.2841668047,3533.3333333333335,Smart SWP,Bullish
2002-02-28,867511.9039266312,2650.0,Smart SWP,Bullish
2002-03-31,855366.7865507869,2650.0,Smart SWP,Bullish
2002-04-30,817718.7405140647,3533.3333333333335,Smart SWP,Bullish
2002-05-31,772187.3123475055,3533.3333333333335,Smart SWP,Bullish
2002-06-30,790420.5342805773,3533.3333333333335,Smart SWP,Bullish
2002-07-31,714399.4274169462,2120.0,Smart SWP,Bearish
2002-08-31,750796.9479065241,2120.0,Smart SWP,Bearish
2002-09-30,713425.3001941111,2120.0,Smart SWP,Bearish
2002-10-31,702601.8300417145,2120.0,Smart SWP,Bearish
2002-11-30,773280.7712195781,2247.2,Smart SWP,Bearish
2002-12-31,802954.4600758068,2247.2,Smart SWP,Bearish
2003-01-31,761282.654074055,3745.3333333333335,Smart SWP,Bullish
2003-02-28,773283.9648788375,3745.3333333333335,Smart SWP,Bullish
2003-03-31,707582.8352245741,3745.3333333333335,Smart SWP,Bullish
2003-04-30,673399.6485396784,2247.2,Smart SWP,Bearish
2003-05-31,723601.2729401513,2247.2,Smart SWP,Bearish
2003-06-30,812882.3030841008,2247.2,Smart SWP,Bearish
2003-07-31,846192.0463010015,3745.3333333333335,Smart SWP,Bullish
2003-08-31,965190.1739339912,2809.0,Smart SWP,Bullish
2003-09-30,1005462.7153675567,2809.0,Smart SWP,Bullish
2003-10-31,1101135.2797546973,2809.0,Smart SWP,Bullish
2003-11-30,1139168.1693183633,3970.0533333333337,Smart SWP,Bullish
2003-12-31,1321738.887249359,3970.0533333333337,Smart SWP,Bullish
2004-01-31,1269541.1200343277,2977.5400000000004,Smart SWP,Bullish
2004-02-29,1259934.3972276833,2977.5400000000004,Smart SWP,Bullish
2004-03-31,1236088.6915690342,3970.0533333333337,Smart SWP,Bullish
2004-04-30,1249000.711905756,3970.0533333333337,Smart SWP,Bullish
2004-05-31,1028711.9295080339,2977.5400000000004,Smart SWP,Bullish
2004-06-30,1041584.4556430951,2382.032,Smart SWP,Bearish
2004-07-31,1126854.3567793733,2382.032,Smart SWP,Bearish
2004-08-31,1124092.633609718,2382.032,Smart SWP,Bearish
2004-09-30,1200071.5864867552,2382.032,Smart SWP,Bearish
2004-10-31,1224564.989859553,3970.0533333333337,Smart SWP,Bullish
