Date,Corpus,Withdrawal,Strategy,Market_Signal
2000-11-30,996666.6666666666,3333.3333333333335,Static SWP,Bearish
2000-12-31,989718.0932854944,3333.3333333333335,Static SWP,Bearish
2001-01-31,1071096.8898946457,3333.3333333333335,Static SWP,Bearish
2001-02-28,1051912.2283810535,3333.3333333333335,Static SWP,Bearish
2001-03-31,890410.6511472983,3333.3333333333335,Static SWP,Bearish
2001-04-30,869279.9615660721,3333.3333333333335,Static SWP,Bearish
2001-05-31,898894.6756540167,3333.3333333333335,Static SWP,Bearish
2001-06-30,849381.2921971787,3333.3333333333335,Static SWP,Bearish
2001-07-31,819176.5676809667,3333.3333333333335,Static SWP,Bearish
2001-08-31,801259.3946284681,3333.3333333333335,Static SWP,Bearish
2001-09-30,691547.7084519342,3333.3333333333335,Static SWP,Bearish
2001-10-31,732143.1867131018,3333.3333333333335,Static SWP,Bearish
2001-11-30,800362.7482603354,3533.3333333333335,Static SWP,Bearish
2001-12-31,790754.4130426288,3533.3333333333335,Static SWP,Bearish
2002-01-31,799429.034624783,3533.3333333333335,Static SWP,Bullish
2002-02-28,845441.8656560968,3533.3333333333335,Static SWP,Bullish
2002-03-31,832654.9765934161,3533.3333333333335,Static SWP,Bullish
2002-04-30,795912.7488370528,3533.3333333333335,Static SWP,Bullish
2002-05-31,751501.2780115813,3533.3333333333335,Static SWP,Bullish
2002-06-30,769151.3982769415,3533.3333333333335,Static SWP,Bullish
2002-07-31,693705.5358364144,3533.3333333333335,Static SWP,Bearish
2002-08-31,727573.9922650403,3533.3333333333335,Static SWP,Bearish
2002-09-30,689879.3825286037,3533.3333333333335,Static SWP,Bearish
2002-10-31,677929.8287262769,3533.3333333333335,Static SWP,Bearish
2002-11-30,744549.8207941627,3745.3333333333335,Static SWP,Bearish
2002-12-31,771539.3679364059,3745.3333333333335,Static SWP,Bearish
2003-01-31,731351.4115084996,3745.3333333333335,Static SWP,Bullish
2003-02-28,742733.6137301965,3745.3333333333335,Static SWP,Bullish
2003-03-31,679480.1894717054,3745.3333333333335,Static SWP,Bullish
2003-04-30,645067.252003046,3745.3333333333335,Static SWP,Bearish
2003-05-31,691564.0283889157,3745.3333333333335,Static SWP,Bearish
2003-06-30,775294.5383366,3745.3333333333335,Static SWP,Bearish
2003-07-31,806890.8508455291,3745.3333333333335,Static SWP,Bullish
2003-08-31,919295.3410474926,3745.3333333333335,Static SWP,Bullish
2003-09-30,956583.0200619722,3745.3333333333335,Static SWP,Bullish
2003-10-31,1046531.6555273136,3745.3333333333335,Static SWP,Bullish
2003-11-30,1082481.6830189342,3970.0533333333337,Static SWP,Bullish
2003-12-31,1255769.8901149512,3970.0533333333337,Static SWP,Bullish
2004-01-31,1205036.2286911556,3970.0533333333337,Static SWP,Bullish
2004-02-29,1194773.8187554565,3970.0533333333337,Static SWP,Bullish
2004-03-31,1171956.0309041792,3970.0533333333337,Static SWP,Bullish
2004-04-30,1183992.1494472956,3970.0533333333337,Static SWP,Bullish
2004-05-31,974021.5690262278,3970.0533333333337,Static SWP,Bullish
2004-06-30,984495.081693553,3970.0533333333337,Static SWP,Bearish
2004-07-31,1063372.748106881,3970.0533333333337,Static SWP,Bearish
2004-08-31,1059044.3935963998,3970.0533333333337,Static SWP,Bearish
2004-09-30,1128900.784124927,3970.0533333333337,Static SWP,Bearish
2004-10-31,1151706.1489885414,3970.0533333333337,Static SWP,Bullish
2004-11-30,1258292.1657839508,4208.256533333334,Static SWP,Bullish
2004-12-31,1332261.4447702758,4208.256533333334,Static SWP,Bullish
2005-01-31,1313389.027176986,4208.256533333334,Static SWP,Bullish
